Collection Number,Colloquial Name,Family,Genus,Species,Plant Kingdom,Descriptor,Plant Part,Overview Photo,Multicell,Bilobate,Polylobate,Rondel,Crenate,Trapezoid,Cross,Saddle,Acute Bulbosus,Blocky,Bulliform Flabellate,Elongate Entire,Elongate Sinuate,Elongate Dentate,Elongate Dendritic,Spheroid Psilate,Spheroid Echinate,Spheroid Ornate,Papillate,Tracheary,Tracheary Pitted,Tracheary Bordered,Stomata,Cork,Silica Aggregate,Sheet,Bulliform Fusiform ,Bulliform Crenate,Blocky with Ridge,Other,Project Herbarium Specimen,Link to RBG Kew Photo,Project,Author
M148,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M149,Germander Speedwell,Plantaginaceae,Veronica ,chamaedrys,Eudicot ,Flowering Plant,Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914377,MRes ,Sigrid Osborne
M150,,,,,,,Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M151,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M152,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M153,Dwarf Furze,Fabaceae,Ulex,galii,Eudicot ,Shrub,Leaf/Thorns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000827923,MRes ,Sigrid Osborne
M154,,,,,,,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M155,,,,,,,Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M156,Scots Pine,Pinaceae,Pinus ,sylvestris,Gymnosperm ,Tree,Needles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://apps.kew.org/herbcat/turnPage.do?pageCode=1&queryId=8&sessionId=73345CB94F5C2C7A0AABD70D6BA23779&presentPage=4,MRes ,Sigrid Osborne
M157,,,,,,,Stem,,M157.2,,,,,,,,,"M157.2, M157.3",,M157.1,,,,M157.2,,,,,,,,,,,,,M157.5,M157.2,,,MRes ,Sigrid Osborne
M158,,,,,,,Bark,,M158.1,,,,,,,,,M158.2,,,,,,,,,,,,,,,M158.3,,,,,,,,MRes ,Sigrid Osborne
M159,,,,,,,Cone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
M160,Compact Rush,Cyperaceae,Juncus ,conglomeratus,Monocotyledon,Rush,Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apps.kew.org/herbcat/getImage.do?imageBarcode=K000914490,MRes ,Sigrid Osborne
M161,,,,,,,Inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRes ,Sigrid Osborne
